epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,16889,1.11776,0.67521,0.93715,0.87339,0.77098,0.83629,0.59417,1.2523,0.87426,0.96738,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,17172.5,1.11433,0.66958,0.93409,0.87178,0.77139,0.83667,0.59409,1.25174,0.87334,0.96712,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17487.1,1.10903,0.6632,0.93331,0.86976,0.77176,0.83684,0.59446,1.25118,0.873,0.96657,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17749,1.10876,0.66328,0.93358,0.86973,0.77184,0.83681,0.59469,1.25103,0.87199,0.9664,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,18052.8,1.10579,0.65909,0.92907,0.87123,0.77166,0.83686,0.59521,1.25022,0.87087,0.96603,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,18369.5,1.10108,0.65697,0.93112,0.87417,0.77074,0.83716,0.59543,1.24997,0.87061,0.96581,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18713.2,1.09317,0.65018,0.92735,0.87545,0.77013,0.83727,0.59578,1.24985,0.87011,0.96552,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,19077,1.0922,0.64998,0.92818,0.87547,0.77034,0.83735,0.59593,1.24929,0.86905,0.96516,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,19430.7,1.09042,0.64663,0.9269,0.87682,0.76969,0.83736,0.59644,1.24973,0.86991,0.96521,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,19717,1.0871,0.64376,0.92409,0.8757,0.77001,0.83749,0.59632,1.24921,0.86965,0.96489,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20098.6,1.08009,0.64068,0.92511,0.87659,0.76971,0.8378,0.59607,1.24936,0.86866,0.9646,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,20498.6,1.07408,0.63655,0.92303,0.87649,0.76983,0.83801,0.59675,1.24892,0.86812,0.96449,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,20863.9,1.07467,0.63112,0.92096,0.87754,0.7692,0.83804,0.59688,1.24883,0.86786,0.96415,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21225.3,1.06833,0.62795,0.92106,0.88007,0.76831,0.8381,0.59727,1.24884,0.86778,0.96418,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21561.5,1.07141,0.62989,0.9211,0.87844,0.76879,0.83811,0.59759,1.2486,0.86828,0.96398,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,21827.1,1.06407,0.62392,0.91713,0.87811,0.76895,0.83812,0.59858,1.24818,0.86767,0.96367,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22151.8,1.05638,0.61945,0.91691,0.87631,0.77012,0.83822,0.59885,1.24812,0.86756,0.96341,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22474.1,1.06166,0.61812,0.91627,0.8753,0.77048,0.83811,0.59826,1.24819,0.86745,0.96335,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22812.1,1.05448,0.59502,0.9105,0.87653,0.77018,0.83799,0.59799,1.24845,0.86744,0.96315,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,23117.3,1.0441,0.58327,0.90757,0.87817,0.76884,0.83814,0.59784,1.24816,0.86799,0.96302,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,23418.5,1.02864,0.57251,0.903,0.87301,0.77386,0.83829,0.59808,1.24767,0.86812,0.96278,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23719.5,1.02432,0.57052,0.8985,0.87446,0.77325,0.83829,0.59783,1.24856,0.86805,0.96294,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,24022.4,1.01912,0.56214,0.9003,0.87509,0.77217,0.83804,0.59847,1.24899,0.86879,0.96292,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,24339.8,1.01165,0.56036,0.89498,0.87432,0.77211,0.83801,0.59837,1.24924,0.86959,0.963,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,24647.2,1.00805,0.55694,0.89553,0.87341,0.77209,0.83803,0.59907,1.24961,0.87018,0.96295,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24947.3,1.01004,0.55397,0.89517,0.87199,0.77277,0.8371,0.5982,1.24967,0.87085,0.96303,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,25251.8,1.00178,0.55032,0.89116,0.86943,0.77367,0.83684,0.59804,1.25014,0.87151,0.96304,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,25521.7,0.99748,0.54455,0.89202,0.87035,0.774,0.83645,0.59833,1.24997,0.87198,0.96308,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
