run,imgsz,kind,class,reason,width_bin,count
c4d_26n_640,640,FN,person,lowconf,8~16px,297
c4d_26n_640,640,FN,person,lowconf,<4px,4
c4d_26n_640,640,FN,person,lowconf,>16px,104
c4d_26n_640,640,FN,person,merged,4~8px,34
c4d_26n_640,640,FN,person,merged,8~16px,114
c4d_26n_640,640,FN,person,merged,<4px,1
c4d_26n_640,640,FN,person,merged,>16px,90
c4d_26n_640,640,FN,person,nearmiss,4~8px,24
c4d_26n_640,640,FN,person,nearmiss,8~16px,32
c4d_26n_640,640,FN,person,nearmiss,>16px,31
c4d_26n_640,640,FN,bollard,blind,4~8px,210
c4d_26n_640,640,FN,bollard,blind,8~16px,177
c4d_26n_640,640,FN,bollard,blind,<4px,408
c4d_26n_640,640,FN,bollard,blind,>16px,177
c4d_26n_640,640,FN,bollard,lowconf,4~8px,425
c4d_26n_640,640,FN,bollard,lowconf,8~16px,221
c4d_26n_640,640,FN,bollard,lowconf,<4px,367
c4d_26n_640,640,FN,bollard,lowconf,>16px,127
c4d_26n_640,640,FN,bollard,merged,4~8px,30
c4d_26n_640,640,FN,bollard,merged,8~16px,32
c4d_26n_640,640,FN,bollard,merged,<4px,17
c4d_26n_640,640,FN,bollard,merged,>16px,15
c4d_26n_640,640,FN,bollard,nearmiss,4~8px,34
c4d_26n_640,640,FN,bollard,nearmiss,8~16px,26
c4d_26n_640,640,FN,bollard,nearmiss,<4px,56
c4d_26n_640,640,FN,bollard,nearmiss,>16px,9
c4d_26n_640,640,FP,person,confusion,,3
c4d_26n_640,640,FP,person,dup,,176
c4d_26n_640,640,FP,person,ghost,,461
c4d_26n_640,640,FP,person,nearmiss,,95
c4d_26n_640,640,FP,stairs,ghost,,1
c4d_26n_640,640,FP,bollard,confusion,,2
c4d_26n_640,640,FP,bollard,dup,,235
c4d_26n_640,640,FP,bollard,ghost,,554
c4d_26n_640,640,FP,bollard,nearmiss,,134
c4d_26n_640,640,sweep_tp@0.25,person,,,3340
c4d_26n_640,640,sweep_fp@0.25,person,,,735
c4d_26n_640,640,sweep_tp@0.25,bollard,,,4657
c4d_26n_640,640,sweep_fp@0.25,bollard,,,925
c4d_26n_640,640,sweep_tp@0.1,person,,,3712
c4d_26n_640,640,sweep_fp@0.1,person,,,2382
c4d_26n_640,640,sweep_tp@0.1,bollard,,,5251
c4d_26n_640,640,sweep_fp@0.1,bollard,,,2945
c4d_26n_640,640,sweep_tp@0.05,person,,,3913
c4d_26n_640,640,sweep_fp@0.05,person,,,5014
c4d_26n_640,640,sweep_tp@0.05,bollard,,,5510
c4d_26n_640,640,sweep_fp@0.05,bollard,,,5399
c4d_26n_640,640,sweep_tp@0.01,person,,,4287
c4d_26n_640,640,sweep_fp@0.01,person,,,21380
c4d_26n_640,640,sweep_tp@0.01,bollard,,,5894
c4d_26n_640,640,sweep_fp@0.01,bollard,,,17926
c4d_26n_960,960,GT,person,,4~8px,801
c4d_26n_960,960,matched,person,,4~8px,395
c4d_26n_960,960,GT,person,,8~16px,1907
c4d_26n_960,960,matched,person,,8~16px,1539
c4d_26n_960,960,GT,person,,<4px,14
c4d_26n_960,960,matched,person,,<4px,1
c4d_26n_960,960,GT,person,,>16px,2014
c4d_26n_960,960,matched,person,,>16px,1795
c4d_26n_960,960,GT,bollard,,4~8px,2392
c4d_26n_960,960,matched,bollard,,4~8px,1835
